Title,URL,Roles (keys),Subjects,Tags,Toggle,Layout,Date Modified,Date Created,Content Type,Source
"Designing for users with low vision","/en/designing-for-users-with-low-vision/","","howTos","designingAccessible","Concevoir pour les utilisateurs malvoyants","layouts/base.njk","2025-09-19","2023-10-26","Content Page","./src/pages/en/design-accessible-services/designing-for-users-with-low-vision.md"
"Designing for users with physical or motor disabilities","/en/designing-for-users-with-physical-or-motor-disabilities/","","howTos","designingAccessible","Concevoir pour les utilisateurs avec un handicap physique ou moteur","layouts/base.njk","2025-09-19","2023-10-26","Content Page","./src/pages/en/design-accessible-services/designing-for-users-with-physical-or-motor-disabilities.md"
"Designing accessible images","/en/designing-accessible-images/","","","","Concevoir des images accessibles","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/designing-accessible-images.md"
"Digital Accessibility Toolkit project","/en/digital-accessibility-toolkit-project/","","","aboutUs","Projet de la Boîte à outils de l&#39;accessibilité numérique","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/digital-accessibility-toolkit-project.md"
"Do’s and Don’ts for developing online courses","/en/dos-and-donts-for-developing-online-courses/","","howTos","designCourse","À faire et à ne pas faire pour développer des cours en ligne","layouts/base.njk","2025-09-19","2023-11-25","Content Page","./src/pages/en/dos-and-donts-for-developing-online-courses.md"
"Employment and Social Development Canada (ESDC)","/en/employment-and-social-development-canada-esdc/","","accessibilityInTheGovernmentOfCanada","communityDirectory","Emploi et Développement social Canada (&lt;abbr&gt;EDSC&lt;/abbr&gt;)","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/employment-and-social-development-canada-esdc.md"
"Find out how to make accessible digital forms","/en/find-out-how-to-make-accessible-digital-forms/","","howTos","createForms","Améliorer l’accessibilité des formulaires","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/find-out-how-to-make-accessible-digital-forms.md"
"Guide for Including Accessibility in Information and Communication Technology (ICT) Related Procurement","/en/guide-for-including-accessibility-in-information-and-communication-technology-ict-related-procurement/","","accessibilityInTheGovernmentOfCanada","procurement; updatesMain","Guide pour l’inclusion de l’accessibilité dans l’approvisionnement lié aux technologies de l’information et des communications (TIC)","layouts/base.njk","2025-09-19","2025-01-22","Content Page","./src/pages/en/guide-for-including-accessibility-in-information-and-communication-technology-ict-related-procurement.md"
"Information and Communication Technology (ICT) Accessibility Requirements","/en/information-and-communication-technology-ict-accessibility-requirements/","","accessibilityInTheGovernmentOfCanada","procurement","Exigences en matière de technologies de l’information et des communications (&lt;abbr&gt;TIC&lt;/abbr&gt;) accessibles","layouts/base.njk","2025-09-19","2024-07-17","Content Page","./src/pages/en/information-and-communication-technology-ict-accessibility-requirements.md"
"Introduction to accessibility requirements for audio-video","/en/introduction-to-accessibility-requirements-for-audio-video/","","howTos","createWebContent","Introduction aux exigences d’accessibilité pour l’audio-vidéo","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/introduction-to-accessibility-requirements-for-audio-video.md"
"Language of Audio/Video Content","/en/language-of-audiovideo-content/","","howTos","createWebContent","Langue du contenu audio/vidéo","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/language-of-audiovideo-content.md"
"Learning and Development","/en/learning-and-development/","","","main","Apprentissage et perfectionnement","layouts/base.njk","2025-09-19","2023-11-23","Content Page","./src/pages/en/learning-and-development.md"
"Live Broadcast","/en/live-broadcast/","","howTos","createWebContent","Diffusions en direct","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/live-broadcast.md"
"Making Accessible Emails","/en/making-accessible-emails/","","","howTos; updatesMain","Rendre vos courriels accessibles","layouts/base.njk","2025-09-19","2023-11-07","Content Page","./src/pages/en/making-accessible-emails.md"
"Microsoft document compliance checklist","/en/microsoft-document-compliance-checklist/","","howTos","createDocument","Liste de vérification de la conformité des documents Microsoft","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/microsoft-document-compliance-checklist.md"
"Mobility, Flexibility, and Body Structure Disabilities","/en/mobility-flexibility-and-body-structure-disabilities/","","accessibilityFundamentals","aboutDisabilities","Handicaps de mobilité, de flexibilité et de structure corporelle","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/mobility-flexibility-and-body-structure-disabilities.md"
"Tip sheet for Microsoft PowerPoint Presentation","/en/tip-sheet-for-microsoft-powerpoint-presentation/","","howTos; createDocument","msTips","Feuille de conseils pour la présentation Microsoft PowerPoint","layouts/base.njk","2025-09-19","2024-08-30","Content Page","./src/pages/en/ms-office-tip-sheets/tip-sheet-microsoft-powerpoint-Presentation.md"
"Tip sheet for Microsoft Word","/en/tip-sheet-for-microsoft-word/","","howTos; createDocument","msTips","Feuille de conseils pour Microsoft Word","layouts/base.njk","2025-09-19","2024-08-30","Content Page","./src/pages/en/ms-office-tip-sheets/tip-sheet-microsoft-word.md"
"Tip sheet for Microsoft Outlook","/en/tip-sheet-for-microsoft-outlook/","","howTos; createDocument","msTips","Feuille de conseils pour Microsoft Outlook","layouts/base.njk","2025-09-19","2024-08-30","Content Page","./src/pages/en/ms-office-tip-sheets/tip-sheet-outlook.md"
"Accessible Excel workbooks in Office 2016","/en/accessible-excel-workbooks-in-office-2016/","","howTos","createDocument; office2016","Classeurs Excel accessibles dans Office 2016","layouts/base.njk","2025-09-19","2023-10-16","Content Page","./src/pages/en/ms-office/2016/accessible-excel-workbooks-in-office-2016.md"
"Accessible PDF documents in Office 2016","/en/accessible-pdf-documents-in-office-2016/","","howTos","createDocument; office2016","Documents PDF accessibles dans Office 2016","layouts/base.njk","2025-09-19","2023-10-16","Content Page","./src/pages/en/ms-office/2016/accessible-pdf-documents-in-office-2016.md"
"Accessible PowerPoint presentations in Office 2016","/en/accessible-powerpoint-presentations-in-office-2016/","","howTos","createDocument; office2016","Présentations PowerPoint accessibles dans Office 2016","layouts/base.njk","2025-09-19","2023-10-16","Content Page","./src/pages/en/ms-office/2016/accessible-powerpoint-presentations-in-office-2016.md"
"Accessible Visio drawings in Office 2016","/en/accessible-visio-drawings-in-office-2016/","","howTos","createDocument; office2016","Dessins Visio accessibles dans Office 2016","layouts/base.njk","2025-09-19","2023-10-16","Content Page","./src/pages/en/ms-office/2016/accessible-visio-drawings-in-office-2016.md"
"Accessible Word documents in Office 2016","/en/accessible-word-documents-in-office-2016/","","howTos","createDocument; office2016","Documents Word accessibles dans Office 2016","layouts/base.njk","2025-09-19","2023-10-16","Content Page","./src/pages/en/ms-office/2016/accessible-word-documents-in-office-2016.md"
"Accessible Excel workbooks in Microsoft 365","/en/accessible-excel-workbooks-in-microsoft-365/","","howTos","createDocument; microsoft365","Classeurs Excel accessibles dans Microsoft 365","layouts/base.njk","2025-09-19","2023-10-27","Content Page","./src/pages/en/ms-office/365/accessible-excel-workbooks-in-microsoft-365.md"
"Accessible PDF documents in Microsoft 365","/en/accessible-pdf-documents-in-microsoft-365/","","howTos","createDocument; microsoft365","Documents PDF accessibles dans Microsoft 365","layouts/base.njk","2025-09-19","2023-10-27","Content Page","./src/pages/en/ms-office/365/accessible-pdf-documents-in-microsoft-365.md"
"Accessible PowerPoint presentations in Microsoft 365","/en/accessible-powerpoint-presentations-in-microsoft-365/","","howTos","createDocument; microsoft365","Présentations PowerPoint accessibles dans Microsoft 365","layouts/base.njk","2025-09-19","2023-10-27","Content Page","./src/pages/en/ms-office/365/accessible-powerpoint-presentations-in-microsoft-365.md"
"Accessible Visio drawings in Microsoft 365","/en/accessible-visio-drawings-in-microsoft-365/","","howTos","createDocument; microsoft365","Dessins Visio accessibles dans Microsoft 365","layouts/base.njk","2025-09-19","2023-10-27","Content Page","./src/pages/en/ms-office/365/accessible-visio-drawings-in-microsoft-365.md"
"Accessible Word documents in Microsoft 365","/en/accessible-word-documents-in-microsoft-365/","","howTos","createDocument; microsoft365","Documents Word accessibles dans Microsoft 365","layouts/base.njk","2025-09-19","2023-10-27","Content Page","./src/pages/en/ms-office/365/accessible-word-documents-in-microsoft-365.md"
"Page moved or deleted","/en/page-moved-or-deleted/","","","","Page déplacée ou supprimée","layouts/base.njk","2025-09-19","2023-11-28","Content Page","./src/pages/en/page-moved-or-deleted.md"
"PDF accessibility checklist","/en/pdf-accessibility-checklist/","","howTos","createDocument","Liste de vérification de l’accessibilité des documents PDF","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/pdf-accessibility-checklist.md"
"Personas with Disabilities for inclusive user experience (UX) design","/en/personas-with-disabilities-for-inclusive-user-experience-ux-design/","","howTos","designCourse","Personas handicapés pour la conception d&#39;une expérience utilisateur inclusive (&lt;abbr&gt;EU&lt;/abbr&gt;)","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/personas-with-disabilities-for-inclusive-user-experience-ux-design.md"
"Accessibility remediation roadmap template","/en/accessibility-remediation-roadmap-template/","","accessibilityInTheGovernmentOfCanada","procurement; updatesMain","Le modèle de feuille de route pour la correction des problèmes d’accessibilité","layouts/base.njk","2025-09-19","2025-04-25","Content Page","./src/pages/en/procurement/accessibility-remediation-roadmap-template-instructions.md"
"Recordings","/en/recordings/","","howTos","createWebContent","Enregistrements","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/recordings.md"
"Research on our target audience","/en/research-on-our-target-audience/","","","aboutUs","Recherche sur notre audience","layouts/base.njk","2025-09-19","2023-11-30","Content Page","./src/pages/en/research-on-our-target-audience.md"
"Statistics Canada (StatCan)","/en/statistics-canada-statcan/","","accessibilityInTheGovernmentOfCanada","communityDirectory","Statistique Canada (&lt;abbr&gt;StatCan&lt;/abbr&gt;)","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/statistics-canada-statcan.md"
"Targeted Engagement: draft Standard on Information and Communication Technology (ICT) Accessibility","/en/targeted-engagement-draft-standard-on-information-and-communication-technology-ict-accessibility/","","accessibilityInTheGovernmentOfCanada","accessibilityStandards","Séance de mobilisation ciblée : L’ébauche de la &lt;em&gt;Norme d’accessibilité des technologies de l’information et des communications (&lt;abbr&gt;TIC&lt;/abbr&gt;)&lt;/em&gt;","layouts/base.njk","2025-09-19","2023-09-28","Content Page","./src/pages/en/targeted-engagement-draft-standard-on-information-and-communication-technology-ict-accessibility.md"
"Technical Summary of the EN 301 549 v3.2.1 (2021)","/en/technical-summary-of-the-en-301-549-v321-2021/","","accessibilityInTheGovernmentOfCanada","procurement","Résumé technique de la norme EN 301 549 v3.2.1 (2021)","layouts/base.njk","2025-09-19","2024-07-17","Content Page","./src/pages/en/technical-summary-of-the-en-301-549-v321-2021.md"
"Terms of Reference","/en/terms-of-reference/","","","aboutUs","Mandats","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/terms-of-reference.md"
"The structure of Web Content Accessibility Guidelines (WCAG) 2.1","/en/the-structure-of-web-content-accessibility-guidelines-wcag-21/","","","","La structure des règles pour l&#39;accessibilité des contenus web (&lt;abbr&gt;WCAG&lt;/abbr&gt;) 2.1","layouts/base.njk","2025-09-19","2023-11-02","Content Page","./src/pages/en/the-structure-of-web-content-accessibility-guidelines-wcag-21.md"
"Tips for creating online courses","/en/tips-for-creating-online-courses/","","howTos","designCourse","Conseils pour la conception de cours en ligne","layouts/base.njk","2025-09-19","2023-11-25","Content Page","./src/pages/en/tips-for-creating-online-courses.md"
"Transcript Checklist","/en/transcript-checklist/","","howTos","createWebContent","Liste de contrôle des transcriptions","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/transcript-checklist.md"
"Transcript Guidelines","/en/transcript-guidelines/","","howTos","createWebContent","Directives pour la transcription","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/transcript-guidelines.md"
"Universal Design for Learning (UDL)","/en/universal-design-for-learning-udl/","","howTos","designCourse","Conception universelle pour l’apprentissage (&lt;abbr&gt;CUA&lt;/abbr&gt;)","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/universal-design-for-learning-udl.md"
"Useful Links","/en/useful-links/","","","","Liens utiles","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/useful-links.md"
"Virtual Meeting Platforms and Accessibility Features","/en/virtual-meeting-platforms-and-accessibility-features/","","","","Plateformes de réunions virtuelles et fonctionnalités","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/virtual-meeting-platforms-and-accessibility-features.md"
"Visual Impairments","/en/visual-impairments/","","accessibilityFundamentals","aboutDisabilities","Déficiences visuelles","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/visual-impairments.md"
"Web Accessibility Checklist","/en/web-accessibility-checklist/","","howTos","testYourProducts","Liste de vérification pour l&#39;accessibilité Web","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/web-accessibility-checklist.md"
"What we heard report: Standard on Information and Communication Technology Accessibility (SICTA)","/en/what-we-heard-report-standard-on-information-and-communication-technology-accessibility-sicta/","","accessibilityInTheGovernmentOfCanada","accessibilityStandards","Rapport sur ce que nous avons entendu : Norme d’accessibilité des technologies de l’information et des communications (&lt;abbr&gt;NATIC&lt;/abbr&gt;)","layouts/base.njk","2025-09-19","2023-09-28","Content Page","./src/pages/en/what-we-heard-report-standard-on-information-and-communication-technology-accessibility-sicta.md"

